Student ID,Distance Z-score,Distance Min-Max Scaled,Score,Maximum,Score / Maximum %
s6e9f098f,0.040304639170646785,0.17698371948886132,261.0,283,0.9222614840989399
s6f352bb8,-0.5782916246331132,0.08760826938676852,158.0,224,0.7053571428571429
s6f596e71,-0.48301297117277087,0.10684625857403218,202.0,234,0.8632478632478633
s6f927fd6,-0.41403383207572786,0.10077513180277556,229.0,284,0.8063380281690141
s700afdf1,-0.23355191068474657,0.12578721685712826,191.0,247,0.7732793522267206
s70806774,0.9103361249718998,0.3754687743223926,217.0,249,0.8714859437751004
s70ba0748,-0.39449822341498064,0.10436364079088781,232.0,274,0.8467153284671532
s712f9e1a,-0.41856277208519677,0.10936583862688319,289.0,304,0.9506578947368421
s713c2320,-0.5220015664958519,0.07566770807470499,35.0,60,0.5833333333333334
s72b7f21c,0.0788686797077565,0.18571532229015658,150.0,223,0.672645739910314
s7347aba8,-0.5223096551172034,0.08152384095973775,292.0,299,0.9765886287625418
s739bd87a,0.33611148352500997,0.2598573702708112,116.0,195,0.5948717948717949
s73a2e85b,0.7325002288826834,0.3234168986270668,83.0,165,0.503030303030303
s741d4f3f,0.1148365060644594,0.1973888036374627,181.0,229,0.7903930131004366
s74289c02,-0.3123483629251756,0.12390910361316293,233.0,259,0.8996138996138996
s74c257ee,-0.6848145334710539,0.05695235038271762,261.0,264,0.9886363636363636
s75bba8a0,-0.009686310428137042,0.16230500217963245,78.0,117,0.6666666666666666
s75bd23ca,-0.06969790106493433,0.20399638813821214,258.0,294,0.8775510204081632
s76a31982,-0.36847560079115116,0.13022951236679106,215.0,234,0.9188034188034188
s76f9083,-0.14004955163980656,0.16390309824990582,40.0,82,0.4878048780487805
s7752c9db,1.3519279025556428,0.4490975395603555,282.0,299,0.9431438127090301
s7759f3da,-0.43028766534747004,0.09477333972628565,238.0,294,0.8095238095238095
s781102af,1.3204526217412964,0.44935897059442653,67.0,86,0.7790697674418605
s78249b27,-0.7129743448478144,0.04823616153689044,261.0,289,0.903114186851211
s78768cf8,-0.5292389944537621,0.08889782893196742,153.0,178,0.8595505617977528
s78e91ddf,0.8132053965575258,0.3053260490379829,24.0,110,0.21818181818181817
s794c67f4,-0.0049562691850897,0.1791517406474147,25.0,161,0.15527950310559005
s795e253d,-0.3758808148436857,0.12030660873552697,245.0,264,0.928030303030303
s796d1cb8,-0.003939202343169579,0.17658423339271356,158.0,204,0.7745098039215687
s7985305c,-0.25301293820019133,0.13289498547323386,289.0,294,0.9829931972789115
s79c7aa4d,-0.5791815187886299,0.08193612671210643,205.0,243,0.8436213991769548
s7a56e768,-0.3814766520239288,0.11738572757508466,283.0,314,0.9012738853503185
s7af98629,-0.1304387012114436,0.16121910773736955,214.0,269,0.7955390334572491
s7b3f90ca,1.30789946989323,0.4711761293936186,260.0,274,0.948905109489051
s7b58139d,-0.18918642059460491,0.14244855924736416,266.0,299,0.8896321070234113
s7b6237d4,1.1731106782664054,0.45090915501058215,104.0,139,0.7482014388489209
s7b6d0aab,1.0611846315992608,0.38885751579640426,60.0,203,0.2955665024630542
s7c3c3f83,-0.15558838995437058,0.16000435565514337,226.0,264,0.8560606060606061
s7c4611a5,-0.34896161750090327,0.13182482635578036,261.0,299,0.8729096989966555
s7c71a907,-0.3308847936508901,0.11695342134457297,54.0,66,0.8181818181818182
s7c977ad7,-0.2626676292338946,0.13223339857957525,109.0,143,0.7622377622377622
s7ca67490,-0.12697293861316183,0.17068117754382703,208.0,214,0.9719626168224299
s7cafa6c2,-0.11956743884997603,0.15602376452641956,244.0,269,0.9070631970260223
