Student ID,Problem Count,Score,Maximum,Correct Problem Count,Distance Z-score,Quiz Performance
s9d0091f1,28.0,242.0,299,21.0,-0.08425866087444249,0.8093645484949833
s9d03cb46,27.0,82.0,209,7.0,0.6443161312662997,0.3923444976076555
s9e8f2e5c,29.0,210.0,249,20.0,0.06016205612652391,0.8433734939759037
s9e9b5d15,30.0,219.0,254,24.0,-0.4626746908225005,0.8622047244094488
s9eace78a,27.0,267.0,274,24.0,-0.3446461904801867,0.9744525547445255
sa0099252,48.0,350.0,471,24.0,-0.10871535348330469,0.7430997876857749
sa1b80ac2,51.0,258.0,531,18.0,1.5395835575368828,0.4858757062146893
sa4660048,28.0,291.0,299,25.0,-0.403031536811267,0.9732441471571907
sa5d62d08,27.0,251.0,274,23.0,-0.38492676343948473,0.916058394160584
sa86dfdad,27.0,262.0,264,26.0,-0.1495595265369115,0.9924242424242424
sa877db51,58.0,356.0,519,36.0,-0.4651094063222443,0.6859344894026975
saa2630ca,28.0,299.0,299,28.0,0.10238620080021131,1.0
saaf990f9,30.0,268.0,299,26.0,0.6046441630980155,0.8963210702341137
sab247ffb,27.0,272.0,274,25.0,-0.4318111802657174,0.9927007299270073
sac261ffd,29.0,270.0,284,25.0,0.1880714576535703,0.9507042253521126
sad3ab542,29.0,223.0,284,16.0,-0.27229218079887535,0.7852112676056338
sae5181b5,27.0,258.0,289,20.0,1.653420672924149,0.8927335640138409
sae54e566,30.0,273.0,299,23.0,-0.323167961426157,0.9130434782608695
sb01b9a0c,29.0,281.0,294,26.0,-0.26735855273659886,0.95578231292517
sb06c239c,29.0,279.0,289,24.0,-0.5300906258709007,0.9653979238754326
sb07a8316,29.0,271.0,274,26.0,1.5592738008736444,0.9890510948905109
sb0ba901c,27.0,210.0,274,17.0,-0.01422549564278192,0.7664233576642335
sb0dcb730,30.0,296.0,299,28.0,-0.19179389150014137,0.9899665551839465
sb0e84189,31.0,285.0,304,27.0,-0.14636261788788343,0.9375
sb1a99cae,28.0,273.0,284,24.0,-0.40517025505450704,0.9612676056338029
sb24ab499,39.0,226.0,341,20.0,-0.3392638729332901,0.6627565982404692
sb3c24523,27.0,248.0,294,21.0,0.23018293706526088,0.8435374149659864
sb5eda194,27.0,223.0,259,20.0,0.005391002168971848,0.861003861003861
sb63e2eec,27.0,295.0,304,23.0,0.17630727191102824,0.9703947368421053
sb6471473,31.0,248.0,304,21.0,-0.15328640135422783,0.8157894736842105
sb71c1d09,29.0,260.0,288,24.0,1.1612274525380961,0.9027777777777778
sb878d22b,31.0,292.0,304,26.0,-0.2381528011321399,0.9605263157894737
sba5d97f9,27.0,260.0,294,19.0,-0.1286231616932283,0.8843537414965986
sba916500,27.0,259.0,264,24.0,-0.32838091526081276,0.9810606060606061
sbbdc045a,27.0,224.0,264,22.0,1.7613215137677765,0.8484848484848485
sbd7ce6ed,31.0,301.0,304,30.0,-0.20528417899410065,0.9901315789473685
sbdcd0b45,28.0,270.0,299,18.0,1.5506895945721781,0.903010033444816
sbdffbb3b,27.0,270.0,274,25.0,-0.04818118234818893,0.9854014598540146
sbe4dcca7,28.0,284.0,299,24.0,-0.1261564189758322,0.9498327759197325
sbe54d73a,31.0,288.0,304,28.0,-0.1338318379538079,0.9473684210526315
sbe806782,28.0,279.0,299,24.0,1.6986025183560585,0.9331103678929766
sc0aa7416,28.0,292.0,299,26.0,-0.36489845402179394,0.9765886287625418
sc0b06325,29.0,247.0,269,25.0,-0.4994579857915557,0.9182156133828996
sc407ffce,28.0,295.0,299,27.0,-0.5404812115753144,0.9866220735785953
sc43ba7e7,27.0,232.0,289,14.0,-0.5180037005975703,0.8027681660899654
sc553f04e,27.0,215.0,279,15.0,-0.44862135757466176,0.7706093189964157
sc56893e8,27.0,248.0,289,19.0,0.28563841722749245,0.8581314878892734
sc5e9efe2,29.0,240.0,294,16.0,1.5176731462942916,0.8163265306122449
sc5f86348,30.0,287.0,294,29.0,0.5812961793213016,0.9761904761904762
sc7e305e1,27.0,223.0,264,18.0,-0.019945246297103893,0.8446969696969697
sc91a2de5,29.0,266.0,289,21.0,-0.17825486722488457,0.9204152249134948
scc1ca8fb,37.0,271.0,395,20.0,0.0008595208270926622,0.6860759493670886
scce758b8,27.0,237.0,274,20.0,1.588512589245726,0.864963503649635
sccefa23f,27.0,275.0,294,21.0,-0.43525509081999153,0.935374149659864
scd97af54,28.0,287.0,299,25.0,-0.11329799294546504,0.959866220735786
scdb82190,28.0,266.0,289,23.0,1.6392759154803567,0.9204152249134948
scf155f49,27.0,287.0,294,25.0,-0.21697816067177805,0.9761904761904762
scf199e7e,28.0,150.0,283,13.0,-0.0836223903443274,0.5300353356890459
sd2520f42,30.0,272.0,299,23.0,-0.46850144682001665,0.9096989966555183
sd30d0fe2,45.0,344.0,427,33.0,-0.30462466609845373,0.8056206088992974
sd525df1c,27.0,243.0,289,17.0,-0.31757261997111336,0.8408304498269896
sd899ac16,30.0,235.0,279,19.0,0.2852140703487556,0.8422939068100358
sd89a3608,27.0,300.0,304,25.0,-0.056177185821115694,0.9868421052631579
sd8f48a64,30.0,229.0,299,20.0,-0.3723710319346385,0.7658862876254181
sdb4721a0,27.0,260.0,289,20.0,-0.27073482845778013,0.8996539792387543
sdbbf7bf6,27.0,176.0,264,13.0,-0.5912479862475515,0.6666666666666666
sdd0c6cd3,28.0,274.0,279,25.0,-0.11519972331102962,0.982078853046595
sdd2da6a2,30.0,266.0,294,19.0,-0.23002004346816096,0.9047619047619048
sde723bd6,27.0,192.0,269,9.0,0.8615289616710174,0.7137546468401487
sded3951,28.0,288.0,299,23.0,-0.14407650882814413,0.9632107023411371
se0a15d1a,27.0,256.0,294,19.0,-0.23099135838919024,0.8707482993197279
se0b64d07,28.0,302.0,314,24.0,0.044471881454662056,0.9617834394904459
se1243460,27.0,250.0,264,21.0,-0.5708755465571907,0.946969696969697
se1422a8e,27.0,258.0,274,23.0,-0.28989094687715106,0.9416058394160584
se2e239,27.0,270.0,294,18.0,-0.2137633280309396,0.9183673469387755
se31584d9,28.0,280.0,299,25.0,1.5989119541580856,0.9364548494983278
se3b79d3f,31.0,298.0,304,29.0,-0.5385590258208146,0.9802631578947368
se3eb0633,28.0,299.0,299,28.0,-0.01485381434928612,1.0
se4c3690,28.0,310.0,314,27.0,-0.079710941331253,0.9872611464968153
se625aaa2,28.0,294.0,299,27.0,-0.19570631391278304,0.9832775919732442
se7cfea9b,50.0,439.0,466,42.0,-0.41608758891233905,0.9420600858369099
seaa305dd,54.0,471.0,558,40.0,-0.44086157925529823,0.8440860215053764
see34afd4,28.0,293.0,299,26.0,-0.2491832314176701,0.979933110367893
seec8a8f2,29.0,271.0,284,26.0,-0.4743241039671753,0.954225352112676
sef395286,27.0,205.0,279,15.0,0.6416197509165223,0.7347670250896058
sefc5fa4e,28.0,264.0,299,23.0,-0.37304024945595093,0.882943143812709
sf0118345,27.0,245.0,289,20.0,-0.19290248005217697,0.8477508650519031
sf1f60f2f,28.0,264.0,299,24.0,0.16232380543792752,0.882943143812709
sf2b9b041,27.0,261.0,289,22.0,0.33746127275164967,0.903114186851211
sf4d6dc56,47.0,386.0,438,38.0,-0.49741402749714037,0.8812785388127854
sf53a051e,28.0,233.0,274,17.0,-0.31199245840879386,0.8503649635036497
sf63e039e,28.0,240.0,299,19.0,-0.15798887019288044,0.802675585284281
sf732bca7,29.0,195.0,274,18.0,0.0119921499932892,0.7116788321167883
sf8582c3,28.0,290.0,299,26.0,0.017610841358707555,0.9698996655518395
sf86a3b13,28.0,264.0,299,19.0,-0.30117104156140184,0.882943143812709
